id,location_id,attention,address_1,address_2,address_3,address_4,city,region,state_province,postal_code,country
6226,,,"121 E Congress, Suite C",,,,Rantoul,Champaign,IL,61866,231
6227,,,"205 N. Race Street",,,,Urbana,Champaign,IL,61803,231
6228,,,"1304 W. Bradley Avenue",,,,Champaign,Champaign,IL,61821,231
6229,,,"1817 S. Neil Street, Suite 100",,,,Champaign,Champaign,IL,61820,231
6230,,,"1905 E. Main Street",,,,Urbana,Champaign,IL,61802,231
6231,,,"101 E. Main Street, 2nd Floor",,,,Urbana,Champaign,IL,61801,231
6232,,,"401 Burwash Avenue",,,,Savoy,Champaign,IL,61874,231
6233,,,"3900 Kearns Drive",,,,Champaign,Champaign,IL,61826,231
6234,,,"1400 W. Park Street",,,,Urbana,Champaign,IL,61801,231
6235,,,"102 N. Neil Street",,,,Champaign,Champaign,IL,61820,231
6236,,,"53 Logan Street",,,,Champaign,Champaign,IL,61820,231
6237,,,"3656 N. Halsted Street",,,,Chicago,Cook,IL,60613,231
6238,,,"799 Roosevelt Road, Building 4",,,,"Glen Ellyn",DuPage,IL,601375908,231
6239,,,"508 E. Church Street",,,,Champaign,Champaign,IL,61820,231
6240,,,"4700 N. University Street, Suite 91",,,,Peoria,Peoria,IL,616145849,231
6241,,,"No Street Address Available",,,,"New Paltz",Ulster,NY,12561,231
6242,,,"3290 Pine Orchard Lane, Suite 106",,,,"Ellicott City",Howard,MD,21042,231
6243,,,"No Street Address Available",,,,Chicago,Cook,IL,60630,231
6244,,,"1 Natural Resources Way, Suite 100",,,,Springfield,Sangamon,IL,627021271,231
6245,,,"309 N. Franklin Street",,,,Danville,Vermilion,IL,61832,231
6246,,,"405 S. State Street",,,,Champaign,Champaign,IL,61820,231
6247,,,"1000 Jorie Boulevard, Suite 140",,,,"Oak Brook",DuPage,IL,60523,231
6248,,,"3358 Big Pine Trail",,,,Champaign,Champaign,IL,61822,231
6249,,,"Mental Health Association New York City",,,,"New York","New York",NY,10004,231
6250,,,"2008 N. Market Street",,,,Champaign,Champaign,IL,61822,231
6251,,,"No Street Address Available",,,,Springfield,Sangamon,IL,62794,231
6252,,,"312 S. 4th Street, Suite 200",,,,Springfield,Sangamon,IL,62701,231
6253,,,"406 E. Monroe Street",,,,Springfield,Sangamon,IL,627011498,231
6254,,,"508 S. Race Street",,,,Urbana,Champaign,IL,61801,231
6255,,,"705 N. Country Fair Drive",,,,Champaign,Champaign,IL,61821,231
6256,,,"401 S. Clinton, 7th Floor",,,,Chicago,Cook,IL,60607,231
6257,,,"2 North Road, Suite A",,,,Chester,Morris,NJ,7930,231
6258,,,"949 County Road 1300 N.",,,,Carmi,White,IL,62821,231
6259,,,"PO Box 220009",,,,Milwaukie,Clackamas,OR,97269,231
6260,,,"4000 Luxottica Place",,,,Mason,Warren,OH,45040,231
6261,,,"1900 E. Main Street",,,,Danville,Vermilion,IL,61832,231
6262,,,"1755 Lake Cook Road",,,,Deerfield,Lake,IL,600155209,231
6263,,,"9700 Health Care Lane",,,,Minnetonka,Hennepin,MN,55343,231
6264,,,"456 Wylie Drive",,,,Normal,McLean,IL,61761,231
6265,,,"2540 King Arthur Boulevard",,,,Lewisville,Denton,TX,75067,231
6266,,,"301 S. Vine Street",,,,Urbana,Champaign,IL,61801,231
6267,,,"No Street Address Available",,,,"Saint Paul",Ramsey,MN,551040245,231
6268,,,"3444 W. Dundee Road",,,,Northbrook,Cook,IL,60062,231
6269,,,"1 W. Old State Capital Plaza, Suite 721",,,,Springfield,Sangamon,IL,627011374,231
6270,,,"17314 S. Kedzie Avenue",,,,"Hazel Crest",Cook,IL,60429,231
6271,,,"535 W. Jefferson Street",,,,Springfield,Sangamon,IL,62761,231
6272,,,"220 W. Huron Street, Suite 4003",,,,Chicago,Cook,IL,60654,231
6273,,,"702 W. Chestnut Street",,,,Bloomington,McLean,IL,61701,231
